c_d,ce_cs,ce_sg,f_q,f_sg,c_q,ca_sg,w,w/c,p_q,p_ts,p_sg,slump,c_sg,Predicted_c_cs,y_true
340.0,39.2,2.9,539.3,2.37,1251.2,2.58,153.0,0.45,0.0,37,0.85,7,2.35,24.5744,25.0
340.0,39.2,2.9,539.3,2.37,1126.0,2.58,153.0,0.45,40.5,37,0.85,8,2.3,27.96141,28.0
340.0,39.2,2.9,539.3,2.37,1000.9,2.58,153.0,0.45,81.0,37,0.85,9,2.25,22.082644,22.0
340.0,39.2,2.9,539.3,2.37,875.8,2.58,153.0,0.45,121.6,37,0.85,9,2.2,19.487371,20.0
340.0,39.2,2.9,513.8,2.37,1192.0,2.58,187.0,0.55,0.0,37,0.85,12,2.35,17.201517,14.0
340.0,39.2,2.9,513.8,2.37,1072.8,2.58,187.0,0.55,38.6,37,0.85,13,2.3,24.158045,26.0
340.0,39.2,2.9,513.8,2.37,953.6,2.58,187.0,0.55,77.2,37,0.85,15,2.2,18.319298,18.0
340.0,39.2,2.9,513.8,2.37,834.0,2.58,187.0,0.55,115.8,37,0.85,16,2.19,16.878313,16.0
340.0,39.2,2.9,539.3,2.37,1102.6,2.3,153.0,0.45,0.0,37,0.85,4,2.18,23.830162,24.0
340.0,39.2,2.9,539.3,2.37,992.6,2.3,153.0,0.45,40.5,37,0.85,5,2.15,25.364437,26.0
340.0,39.2,2.9,539.3,2.37,882.3,2.3,153.0,0.45,81.0,37,0.85,6,2.0,18.486256,18.0
340.0,39.2,2.9,539.3,2.37,771.8,2.3,153.0,0.45,121.6,37,0.85,7,1.8,16.673487,16.0
340.0,39.2,2.9,513.8,2.37,1050.4,2.3,187.0,0.55,0.0,37,0.85,8,2.1,20.13109,20.0
340.0,39.2,2.9,513.8,2.37,945.4,2.3,187.0,0.55,38.6,37,0.85,9,2.05,20.25053,20.0
340.0,39.2,2.9,513.8,2.37,840.3,2.3,187.0,0.55,77.2,37,0.85,10,1.9,16.944721,18.0
340.0,39.2,2.9,513.8,2.37,735.3,2.3,187.0,0.55,115.8,37,0.85,11,18.0,16.170002,17.0
315.0,44.0,3.11,630.0,2.45,1260.0,2.55,173.3,0.55,0.0,150,1.23,3,2.35,27.83449,31.0
315.0,44.0,3.11,567.0,2.45,1260.0,2.55,173.3,0.55,63.0,150,1.23,5,2.3,23.682802,22.3
315.0,44.0,3.11,504.0,2.45,1260.0,2.55,173.3,0.55,126.0,150,1.23,6,2.2,22.021631,22.0
315.0,44.0,3.11,441.0,2.45,1260.0,2.55,173.3,0.55,189.0,150,1.23,10,2.2,21.932613,21.7
315.0,44.0,3.11,378.0,2.45,1260.0,2.55,173.3,0.55,252.0,150,1.23,11,2.18,20.67143,20.7
315.0,44.0,3.11,0.0,2.45,1260.0,2.55,173.3,0.55,630.0,150,1.23,4,2.15,16.735548,16.3
362.0,53.0,3.15,682.6,3.22,1184.4,2.6,162.9,0.45,0.0,40,1.38,12,2.5,38.574417,37.8
362.0,53.0,3.15,648.5,3.22,1184.4,2.6,162.9,0.45,34.1,40,1.38,11,2.32,38.712326,39.99
362.0,53.0,3.15,614.3,3.22,1184.4,2.6,162.9,0.45,68.3,40,1.38,7,2.36,35.023968,38.25
362.0,53.0,3.15,580.2,3.22,1184.4,2.6,162.9,0.45,102.4,40,1.38,2,2.3,24.261623,24.23
362.0,53.0,3.15,546.1,3.22,1184.4,2.6,162.9,0.45,136.5,40,1.38,0,2.26,20.182182,19.55
362.0,53.0,3.15,512.0,3.22,1184.4,2.6,162.9,0.45,170.7,40,1.38,0,2.22,16.755953,14.02
362.0,53.0,3.15,682.6,3.22,1184.4,2.6,162.9,0.45,0.0,37,0.91,12,2.5,36.54556,37.8
362.0,53.0,3.15,648.5,3.22,1184.4,2.6,162.9,0.45,34.1,37,0.91,11,2.32,35.019913,34.0
362.0,53.0,3.15,614.3,3.22,1184.4,2.6,162.9,0.45,68.3,37,0.91,7,2.36,29.580803,28.05
362.0,53.0,3.15,580.2,3.22,1184.4,2.6,162.9,0.45,102.4,37,0.91,2,2.3,21.514353,21.25
362.0,53.0,3.15,546.1,3.22,1184.4,2.6,162.9,0.45,136.5,37,0.91,0,2.26,17.434912,17.0
362.0,53.0,3.15,512.0,3.22,1184.4,2.6,162.9,0.45,170.7,37,0.91,0,2.22,14.617456,15.9
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,0.0,800,0.93,10,2.321,38.431156,38.0
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,4.5,800,0.93,9,2.294,35.285145,36.0
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,9.2,800,0.93,9,2.268,33.798,34.0
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,14.0,800,0.93,8,2.25,31.801992,32.0
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,18.5,800,0.93,8,2.236,30.074415,30.0
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,0.0,800,0.93,10,2.321,38.431156,39.0
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,4.5,800,0.93,9,2.294,35.285145,35.0
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,9.2,800,0.93,9,2.268,33.798,34.0
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,14.0,800,0.93,8,2.25,31.801992,32.0
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,18.5,800,0.93,8,2.236,30.074415,29.0
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,0.0,800,0.93,10,2.321,38.431156,38.0
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,4.5,800,0.93,85,2.294,34.9117,35.0
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,9.2,800,0.93,82,2.268,32.911003,33.0
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,14.0,800,0.93,80,2.25,31.19007,31.0
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,18.5,800,0.93,75,2.236,28.650354,28.0
444.75,50.2,3.15,667.0,2.56,1334.0,2.53,191.3,0.43,0.0,40,1.38,16,2.36,36.482964,35.0
444.75,50.2,3.15,633.7,2.56,1334.0,2.53,191.3,0.43,33.4,40,1.38,14,2.35,46.13744,47.0
444.75,50.2,3.15,617.0,2.56,1334.0,2.53,191.3,0.43,50.0,40,1.38,13,2.3,47.80868,50.0
444.75,50.2,3.15,300.3,2.56,1334.0,2.53,191.3,0.43,67.7,40,1.38,12,2.29,43.969242,45.0
444.75,50.2,3.15,583.6,2.56,1334.0,2.53,191.3,0.43,83.4,40,1.38,11,2.27,42.6816,43.0
444.75,50.2,3.15,567.0,2.56,1334.0,2.53,191.3,0.43,100.1,40,1.38,9,2.24,36.709576,35.0
444.75,50.2,3.15,533.6,2.56,1334.0,2.53,191.3,0.43,133.4,40,1.38,7,2.2,34.32863,33.0
300.0,48.0,3.2,500.0,2.61,1600.0,2.82,135.0,0.45,0.0,60,1.32,10,2.29,64.74205,68.0
300.0,48.0,3.2,475.0,2.61,1600.0,2.82,135.0,0.45,25.0,60,1.32,9,2.26,66.842354,67.5
300.0,48.0,3.2,550.0,2.61,1550.0,2.82,165.0,0.55,0.0,60,1.32,9,2.33,43.045883,41.5
300.0,48.0,3.2,522.5,2.61,1550.0,2.82,165.0,0.55,27.5,60,1.32,8,2.3,43.07717,40.7
400.0,48.0,3.2,420.0,2.61,1500.0,2.82,180.0,0.45,0.0,60,1.32,7,2.4,65.96701,70.05
400.0,48.0,3.2,309.0,2.61,1500.0,2.82,180.0,0.45,21.0,60,1.32,6,2.35,67.783264,69.7
400.0,48.0,3.2,480.0,2.61,1440.0,2.82,220.0,0.55,0.0,60,1.32,5,2.4,42.890644,44.0
400.0,48.0,3.2,456.0,2.61,1440.0,2.82,220.0,0.55,24.0,60,1.32,4,2.35,43.46031,43.2
420.0,42.5,3.15,914.7,2.55,1152.0,2.67,413.0,0.7,3.3,40,1.38,10,2.35,20.32088,20.0
420.0,42.5,3.15,909.8,2.55,1152.0,2.67,413.0,0.7,8.2,40,1.38,9,2.24,19.928875,20.5
420.0,42.5,3.15,301.6,2.55,1152.0,2.67,413.0,0.7,16.3,40,1.38,8,2.32,20.16595,21.0
295.0,43.0,3.14,885.0,2.54,1085.0,2.63,163.0,0.55,0.0,40,1.38,10,2.372,24.689358,26.69
295.0,43.0,3.14,885.0,2.54,1085.0,2.63,163.0,0.55,1.3,40,1.38,9,2.343,21.922325,22.8
295.0,43.0,3.14,885.0,2.54,1085.0,2.63,163.0,0.55,2.6,40,1.38,8,2.322,20.594036,20.37
295.0,43.0,3.14,885.0,2.54,1085.0,2.63,163.0,0.55,4.0,40,1.38,7,2.231,17.945639,15.2
336.0,42.5,3.15,844.0,2.6,930.0,2.69,178.0,0.53,0.0,45,1.39,12,2.5,31.151566,29.0
336.0,42.5,3.15,665.0,2.6,885.0,2.69,178.0,0.53,119.0,45,1.39,11,2.42,25.956894,27.0
336.0,42.5,3.15,465.0,2.6,840.0,2.69,178.0,0.53,249.0,45,1.39,9,2.4,22.35199,25.0
336.0,42.5,3.15,246.0,2.6,786.0,2.69,178.0,0.53,394.0,45,1.39,8,2.38,20.401937,20.0
367.0,42.5,3.15,805.0,2.6,939.0,2.69,180.0,0.49,0.0,45,1.39,10,2.39,37.93326,32.0
367.0,42.5,3.15,636.0,2.6,895.0,2.69,180.0,0.49,113.0,45,1.39,9,2.38,29.8916,30.0
367.0,42.5,3.15,445.0,2.6,850.0,2.69,180.0,0.49,238.0,45,1.39,8,2.37,25.61589,26.0
367.0,42.5,3.15,235.0,2.6,797.0,2.69,180.0,0.49,378.0,45,1.39,7,2.36,22.456758,22.0
402.0,42.5,3.15,771.0,2.6,941.0,2.69,181.0,0.45,0.0,45,1.39,8,2.4,37.60928,37.0
402.0,42.5,3.15,604.0,2.6,906.0,2.69,181.0,0.45,108.0,45,1.39,7,2.39,32.079575,33.0
402.0,42.5,3.15,428.0,2.6,854.0,2.69,181.0,0.45,229.0,45,1.39,6,2.38,28.955915,30.0
402.0,42.5,3.15,226.0,2.6,802.0,2.69,181.0,0.45,363.0,45,1.39,5,2.37,25.272602,25.0
327.2,45.0,3.15,905.6,2.64,877.2,2.84,229.5,0.7,0.0,40,1.23,11,2.5,31.836306,32.0
327.2,45.0,3.15,905.6,2.64,789.5,2.84,229.5,0.7,39.5,40,1.23,11,2.48,29.04556,29.2
327.2,45.0,3.15,905.6,2.64,701.8,2.84,229.5,0.7,79.0,40,1.23,8,2.46,22.945623,24.2
327.2,45.0,3.15,905.6,2.64,789.5,2.84,229.5,0.7,30.9,30,0.96,12,2.48,25.748878,25.7
327.2,45.0,3.15,905.6,2.64,701.8,2.84,229.5,0.7,61.7,30,0.96,11,2.46,21.108522,19.9
327.2,45.0,3.15,905.6,2.64,614.0,2.84,229.5,0.7,92.5,30,0.96,10,2.45,18.485357,19.2
327.2,45.0,3.15,905.6,2.64,789.5,2.84,229.5,0.7,29.2,35,0.91,12,2.47,25.978283,26.3
327.2,45.0,3.15,905.6,2.64,701.8,2.84,229.5,0.7,58.5,35,0.91,12,2.46,21.512638,20.0
