c_d,ce_cs,ce_sg,f_q,f_sg,c_q,ca_sg,w,w/c,p_q,p_ts,p_sg,slump,c_sg,Predicted_c_cs
370.0,42.5,3.13,300.0,2.63,1250.0,1.45,200.0,0.54,300.0,140,1.49,1,1.642,10.079885
455.4,39.5,3.14,569.3,2.69,1138.5,2.72,236.8,0.52,0.0,50,1.3,17,2.447,42.459534
455.4,39.5,3.14,540.8,2.69,1138.5,2.72,236.8,0.52,12.0,50,1.3,17,2.41,40.25398
455.4,39.5,3.14,483.9,2.69,1138.5,2.72,236.8,0.52,36.7,50,1.3,17,2.328,37.588646
455.4,39.5,3.14,398.5,2.69,1138.5,2.72,236.8,0.52,73.4,50,1.3,17,2.389,31.984587
455.4,39.5,3.14,313.1,2.69,1138.5,2.72,236.8,0.52,110.1,50,1.3,16,2.354,27.97677
455.4,39.5,3.14,199.3,2.69,1138.5,2.72,236.8,0.52,159.1,50,1.3,4,2.32,23.045286
455.4,39.5,3.14,85.4,2.69,1138.5,2.72,236.8,0.52,208.0,50,1.3,1,2.055,17.66475
455.4,39.5,3.14,569.3,2.69,1081.6,2.72,236.8,0.52,25.7,50,1.3,17,2.432,45.342922
455.4,39.5,3.14,569.3,2.69,967.7,2.72,236.8,0.52,77.0,50,1.3,17,2.389,36.736874
455.4,39.5,3.14,569.3,2.69,797.0,2.72,236.8,0.52,154.0,50,1.3,16,2.335,36.21326
455.4,39.5,3.14,569.3,2.69,626.2,2.72,236.8,0.52,230.9,50,1.3,5,2.21,22.28581
455.4,39.5,3.14,569.3,2.69,398.5,2.72,236.8,0.52,336.0,50,1.3,3,2.05,18.200083
455.4,39.5,3.14,569.3,2.69,170.8,2.72,236.8,0.52,436.2,50,1.3,2,1.695,10.578409
260.0,42.5,3.14,680.0,2.42,1193.0,2.64,215.0,0.83,0.0,52,1.36,3,2.4,15.272347
260.0,42.5,3.14,680.0,2.42,1180.0,2.64,215.0,0.83,12.2,52,1.36,3,2.39,13.322779
260.0,42.5,3.14,680.0,2.42,1162.5,2.64,215.0,0.83,30.5,52,1.36,3,2.38,12.484557
260.0,42.5,3.14,680.0,2.42,1132.4,2.64,215.0,0.83,61.0,52,1.36,3,2.34,12.1743555
260.0,42.5,3.14,680.0,2.42,1101.5,2.64,215.0,0.83,91.5,52,1.36,4,2.32,11.985139
260.0,42.5,3.14,680.0,2.42,1071.0,2.64,215.0,0.83,122.0,52,1.36,5,2.31,12.0615225
260.0,42.5,3.14,680.0,2.42,1040.5,2.64,215.0,0.83,152.5,52,1.36,6,2.29,13.102634
260.0,42.5,3.14,680.0,2.42,1162.5,2.64,205.3,0.79,30.5,52,1.36,3,2.32,11.495922
260.0,42.5,3.14,680.0,2.42,1162.5,2.64,210.7,0.81,30.5,52,1.36,3,2.32,11.495922
260.0,42.5,3.14,680.0,2.42,1162.5,2.64,219.3,0.84,30.5,52,1.36,3,2.32,11.186823
260.0,42.5,3.14,680.0,2.42,1162.5,2.64,225.8,0.87,30.5,52,1.36,4,2.32,11.319542
350.0,47.8,3.09,602.0,2.68,1170.0,2.62,168.0,0.48,0.0,50,1.4,4,2.42,35.59214
350.0,47.8,3.09,452.0,2.68,945.0,2.63,168.0,0.48,203.0,50,1.4,3,2.2,24.95115
350.0,47.8,3.09,301.0,2.68,720.0,2.64,168.0,0.48,405.0,50,1.4,3,1.95,20.723572
350.0,47.8,3.09,150.0,2.68,495.0,2.65,168.0,0.48,609.0,50,1.4,3,1.75,12.353392
350.0,47.8,3.09,452.0,2.68,945.0,2.63,168.0,0.48,125.0,35,0.87,3,2.2,23.665506
350.0,47.8,3.09,301.0,2.68,720.0,2.64,168.0,0.48,250.0,35,0.88,3,1.85,16.293364
350.0,47.8,3.09,150.0,2.68,495.0,2.65,168.0,0.48,375.0,35,0.88,2,1.2,6.677223
350.0,47.8,3.09,452.0,2.68,945.0,2.63,168.0,0.48,137.0,30,0.95,3,2.2,21.783255
350.0,47.8,3.09,301.0,2.68,720.0,2.64,168.0,0.48,273.0,30,0.96,2,1.75,10.828886
350.0,47.8,3.09,150.0,2.68,495.0,2.65,168.0,0.48,410.0,30,0.96,2,1.4,7.4996758
400.0,32.5,3.12,470.0,2.6,270.0,2.44,195.0,0.48,0.0,54,1.42,4,2.403,32.886063
400.0,32.5,3.12,329.0,2.6,270.0,2.44,195.0,0.48,221.0,54,1.43,7,2.27,26.162693
400.0,32.5,3.12,235.0,2.6,270.0,2.44,195.0,0.48,368.0,54,1.43,8,2.139,23.46565
400.0,32.5,3.12,141.0,2.6,270.0,2.44,195.0,0.48,515.0,54,1.43,8,1.862,17.899143
380.0,42.5,3.14,715.0,2.57,1020.0,1.55,201.4,0.53,0.0,50,1.42,8,2.475,40.995712
380.0,42.5,3.14,643.0,2.57,1020.0,1.55,201.4,0.53,71.5,50,1.42,2,2.35,25.285318
380.0,42.5,3.14,607.8,2.57,1020.0,1.55,201.4,0.53,107.3,50,1.42,2,2.3,25.445461
380.0,42.5,3.14,572.0,2.57,1020.0,1.55,201.4,0.53,143.0,50,1.42,0,2.27,24.306559
340.0,43.6,3.14,799.2,2.65,1147.8,2.79,180.0,0.53,0.0,21,1.29,6,2.55,34.729866
340.0,43.6,3.14,799.2,2.65,1033.0,2.79,180.0,0.53,53.1,21,1.29,5,2.53,25.912802
340.0,43.6,3.14,799.2,2.65,919.0,2.79,180.0,0.53,106.1,21,1.29,5,2.42,23.9314
340.0,43.6,3.14,799.2,2.65,803.7,2.79,180.0,0.53,159.1,21,1.29,4,2.32,19.186945
340.0,43.6,3.14,799.2,2.65,688.3,2.79,180.0,0.53,212.5,21,1.29,4,2.25,19.175787
340.0,43.6,3.14,799.2,2.65,572.9,2.79,180.0,0.53,264.9,21,1.29,3,2.2,17.552244
367.34,43.6,3.14,789.1,2.65,1133.3,2.79,180.0,0.49,0.0,21,1.29,8,2.63,41.011517
367.34,43.6,3.14,789.1,2.65,1020.0,2.79,180.0,0.49,52.4,21,1.29,7,2.55,33.74119
367.34,43.6,3.14,789.1,2.65,907.4,2.79,180.0,0.49,104.8,21,1.29,6,2.45,32.3996
367.34,43.6,3.14,789.1,2.65,793.5,2.79,180.0,0.49,157.1,21,1.29,5,2.35,27.871584
367.34,43.6,3.14,789.1,2.65,679.6,2.79,180.0,0.49,209.8,21,1.29,4,2.32,24.523903
367.34,43.6,3.14,789.1,2.65,565.7,2.79,180.0,0.49,261.6,21,1.29,4,2.1,21.684969
400.0,43.6,3.14,777.9,2.65,1117.2,2.79,180.0,0.45,0.0,21,1.29,9,2.65,45.76344
400.0,43.6,3.14,777.9,2.65,1005.5,2.79,180.0,0.45,51.7,21,1.29,8,2.62,40.631744
400.0,43.6,3.14,777.9,2.65,894.6,2.79,180.0,0.45,103.3,21,1.29,7,2.48,39.575684
400.0,43.6,3.14,777.9,2.65,782.2,2.79,180.0,0.45,154.9,21,1.29,6,2.45,35.41609
400.0,43.6,3.14,777.9,2.65,669.9,2.79,180.0,0.45,206.8,21,1.29,5,2.38,28.434639
400.0,43.6,3.14,777.9,2.65,557.6,2.79,180.0,0.45,257.8,21,1.29,4,2.3,24.202312
456.0,35.0,3.13,639.7,2.55,1056.2,2.82,205.0,0.45,0.0,60,0.85,5,2.43,32.638493
456.0,35.0,3.13,639.7,2.55,1003.4,2.82,205.0,0.45,20.3,60,0.85,4,2.36,34.5705
456.0,35.0,3.13,639.7,2.55,950.6,2.82,205.0,0.45,40.5,60,0.85,4,2.34,32.020725
456.0,35.0,3.13,639.7,2.55,897.8,2.82,205.0,0.45,60.7,60,0.85,3,2.29,28.551504
456.0,35.0,3.13,639.7,2.55,932.4,2.43,205.0,0.45,0.0,60,0.85,8,2.26,31.193636
456.0,35.0,3.13,639.7,2.55,847.7,2.43,205.0,0.45,20.3,60,0.85,7,2.24,30.421936
456.0,35.0,3.13,639.7,2.55,803.1,2.43,205.0,0.45,40.5,60,0.85,6,2.21,27.783695
