c_d,ce_cs,ce_sg,f_q,f_sg,c_q,ca_sg,w,w/c,p_q,p_ts,p_sg,slump,c_sg,c_cs
350,42.5,3.14,534.6,2.64,996.4,2.61,182,0.52,137.5,40,1.31,7,2.3,33.41
350,42.5,3.14,801,2.6,1003.1,2.73,189,0.53,0,30,1.32,4,2.36,37
350,42.5,3.14,750.4,2.6,855,2.73,213.5,0.61,61.4,30,1.32,3,2.22,24
350,42.5,3.14,668.4,2.6,1008.3,2.73,185.5,0.53,66.9,30,1.31,3,2.3,27
350,42.5,3.14,537.4,2.6,1018.6,2.73,178.5,0.51,135.1,30,1.31,2,2.25,34.5
350,42.5,3.14,660,2.6,992.7,2.73,196,0.56,64.2,30,1.28,3,2.23,29.5
350,42.5,3.14,516.7,2.6,972.1,2.73,210,0.6,125.7,30,1.28,2,02.09,24
300,42.5,03.05,977,2.58,732,2.68,180,0.6,0,40,1.32,10,2.57,31.5
300,42.5,03.05,977,2.58,538,2.68,180,0.6,99,40,1.32,9,2.504,15
300,42.5,03.05,783,2.58,469,2.68,180,0.6,163,40,1.32,9,2.35,12
300,42.5,03.05,783,2.58,112,2.68,180,0.6,246,40,1.32,8,2.222,6
495.12,50,3.15,649.9,2.6,1024,2.68,201.4,0.41,0,32,1.3,20,2.374,37.9
495.12,50,3.15,633.4,2.6,1024,2.68,201.4,0.41,16.2,32,1.3,19,2.374,38.9
495.12,50,3.15,617.2,2.6,1024,2.68,201.4,0.41,32.5,32,1.3,18,2.374,49.3
495.12,50,3.15,584.7,2.6,1024,2.68,201.4,0.41,65,32,1.3,17,2.374,36.7
360,53,3.15,696,2.73,1164,2.71,180,0.5,0,29,2.14,7,2.66,33.4
360,53,3.15,624,2.73,1164,2.71,180,0.5,27.5,29,2.14,10,2.51,32.5
360,53,3.15,592,2.73,1164,2.71,180,0.5,41,29,2.14,11,2.43,30.4
360,53,3.15,557,2.73,1164,2.71,180,0.5,55,29,2.14,12,2.29,28.9
400,32.5,3.14,467,2.56,1340,2.64,190,0.48,0,30,0.87,6,2.36,28
400,32.5,3.14,420.3,2.56,1340,2.64,190,0.48,16.3,30,0.87,6,2.34,24
400,32.5,3.14,373.6,2.56,1340,2.64,190,0.48,32.5,30,0.87,7,2.28,20
400,32.5,3.14,326.9,2.56,1340,2.64,190,0.48,48.8,30,0.87,8,2.15,18
400,32.5,3.14,280.2,2.56,1340,2.64,190,0.48,65,30,0.87,11,02.07,17
